key_id,old_judge_id,judge_id,full_name,first_name,last_name,last_name_latin,member_state_id,member_state,member_state_code,birth_year,gender_id,gender,female,judge_court_of_justice,judge_general_court,judge_civil_service_tribunal,advocate_general,count_positions,status,non_consecutive,start_date,end_date,start_date_court_of_justice,end_date_court_of_justice,start_date_general_court,end_date_general_court,start_date_civil_service_tribunal,end_date_civil_service_tribunal,start_date_advocate_general,end_date_advocate_general
66,1515,415,Ezio Perillo,Ezio,Perillo,Perillo,4,Italy,IT,1950,2,Male,0,0,1,1,0,2,Former GC judge; Former CST judge,0,2011-10-06,2016-09-19,,,2016-09-19,2019-09-26,2011-10-06,2016-08-31,,
67,1514,416,Guido Berardis,Guido,Berardis,Berardis,4,Italy,IT,1950,2,Male,0,0,1,0,0,1,Former GC judge,0,2012-09-07,2019-09-26,,,2012-09-07,2019-09-26,,,,
68,1518,417,Giovanni Pitruzzella,Giovanni,Pitruzzella,Pitruzzella,4,Italy,IT,1959,2,Male,0,0,0,0,1,1,Current AG,0,2018-10-08,present,,,,,,,2018-10-08,present
69,1516,418,Lucia Serena Rossi,Lucia Serena,Rossi,Rossi,4,Italy,IT,1958,1,Female,1,1,0,0,0,1,Current CJ judge,0,2018-10-08,present,2018-10-08,present,,,,,,
70,1519,419,Roberto Mastroianni,Roberto,Mastroianni,Mastroianni,4,Italy,IT,1964,2,Male,0,0,1,0,0,1,Current GC judge,0,2019-09-26,present,,,2019-09-26,present,,,,
71,1520,420,Ornella Porchia,Ornella,Porchia,Porchia,4,Italy,IT,1966,1,Female,1,0,1,0,0,1,Current GC judge,0,2019-09-26,present,,,2019-09-26,present,,,,
72,1801,501,Charles Léon Hammes,Charles Léon,Hammes,Hammes,5,Luxembourg,LU,1898,2,Male,0,1,0,0,0,1,Former CJ judge,0,1952-12-04,1967-10-09,1952-12-04,1967-10-09,,,,,,
73,1802,502,Pierre Pescatore,Pierre,Pescatore,Pescatore,5,Luxembourg,LU,1919,2,Male,0,1,0,0,0,1,Former CJ judge,0,1967-10-09,1985-10-06,1967-10-09,1985-10-06,,,,,,
74,1803,503,Fernand Schockweiler,Fernand,Schockweiler,Schockweiler,5,Luxembourg,LU,1935,2,Male,0,1,0,0,0,1,Former CJ judge,0,1985-10-07,1996-06-01,1985-10-07,1996-06-01,,,,,,
75,1809,504,Jean Mischo,Jean,Mischo,Mischo,5,Luxembourg,LU,1938,2,Male,0,0,0,0,1,1,Former AG,1,1986-01-13,2003-10-06,,,,,,,1986-01-13,2003-10-06
76,1804,505,Romain Schintgen,Romain,Schintgen,Schintgen,5,Luxembourg,LU,1939,2,Male,0,1,1,0,0,2,Former CJ judge; Former GC judge,0,1989-09-25,2008-01-14,1996-07-12,2008-01-14,1989-09-25,1996-07-11,,,,
77,1805,506,Marc Jaeger,Marc,Jaeger,Jaeger,5,Luxembourg,LU,1954,2,Male,0,0,1,0,0,1,Current GC judge,0,1996-07-11,present,,,1996-07-11,present,,,,
78,1806,507,Jean-Jacques Kasel,Jean-Jacques,Kasel,Kasel,5,Luxembourg,LU,1946,2,Male,0,1,0,0,0,1,Former CJ judge,0,2008-01-15,2013-10-06,2008-01-15,2013-10-06,,,,,,
79,1807,508,François Biltgen,François,Biltgen,Biltgen,5,Luxembourg,LU,1958,2,Male,0,1,0,0,0,1,Current CJ judge,0,2013-10-06,present,2013-10-06,present,,,,,,
80,1808,509,Dean Spielmann,Dean,Spielmann,Spielmann,5,Luxembourg,LU,1962,2,Male,0,0,1,0,0,1,Current GC judge,0,2016-04-13,present,,,2016-04-13,present,,,,
81,2001,601,Petrus Serrarens,Petrus,Serrarens,Serrarens,6,Netherlands,NL,1888,2,Male,0,1,0,0,0,1,Former CJ judge,0,1952-12-04,1958-10-06,1952-12-04,1958-10-06,,,,,,
82,2002,602,Adrianus van Kleffens,Adrianus,van Kleffens,van Kleffens,6,Netherlands,NL,1899,2,Male,0,1,0,0,0,1,Former CJ judge,0,1952-12-04,1958-10-06,1952-12-04,1958-10-06,,,,,,
83,2003,603,Andreas Matthias Donner,Andreas Matthias,Donner,Donner,6,Netherlands,NL,1918,2,Male,0,1,0,0,0,1,Former CJ judge,0,1958-10-07,1979-04-01,1958-10-07,1979-04-01,,,,,,
