key_id,court,first_name,last_name,last_name_latin,member_state,item_text,type_education,type_job,type_other,job_lawyer,job_academic,job_politician,job_judge,job_civil_servant,job_other,court_lower,court_high,court_cjeu,court_international,common_law_university
91,Court of Justice,Maciej,Szpunar,Szpunar,Poland,Agent of the Polish Government in a large number of cases before the European Union judicature,0,1,0,1,0,0,0,0,0,0,0,0,0,0
92,Court of Justice,Maciej,Szpunar,Szpunar,Poland,"Head of the Polish delegation at the negotiations on the Treaty on Stability, Coordination and Governance in the Economic and Monetary Union",0,1,0,0,0,0,0,1,0,0,0,0,0,0
93,Court of Justice,Maciej,Szpunar,Szpunar,Poland,member of the editorial board of a number of legal journals,0,1,0,0,1,0,0,0,0,0,0,0,0,0
94,Court of Justice,Maciej,Szpunar,Szpunar,Poland,author of numerous publications in the fields of European law and private international law,0,1,0,0,1,0,0,0,0,0,0,0,0,0
95,Court of Justice,Maciej,Szpunar,Szpunar,Poland,Advocate General at the Court of Justice since 23 October 2013,0,1,0,0,0,0,1,0,0,0,0,1,0,0
96,Court of Justice,Marko,Ilešič,Ilesic,Slovenia,Doctor of Law (University of Ljubljana),1,0,0,0,0,0,0,0,0,0,0,0,0,0
97,Court of Justice,Marko,Ilešič,Ilesic,Slovenia,specialism in comparative law (Universities of Strasbourg and Coimbra),1,0,0,0,0,0,0,0,0,0,0,0,0,0
98,Court of Justice,Marko,Ilešič,Ilesic,Slovenia,judicial service examination,0,1,0,1,0,0,0,0,0,0,0,0,0,0
99,Court of Justice,Marko,Ilešič,Ilesic,Slovenia,"Professor of Civil, Commercial and Private International Law",0,1,0,0,1,0,0,0,0,0,0,0,0,0
100,Court of Justice,Marko,Ilešič,Ilesic,Slovenia,Vice-Dean (1995-2001) and Dean (2001-04) of the Faculty of Law at the University of Ljubljana,0,1,0,0,1,0,0,0,0,0,0,0,0,0
101,Court of Justice,Marko,Ilešič,Ilesic,Slovenia,author of numerous legal publications,0,1,0,0,1,0,0,0,0,0,0,0,0,0
102,Court of Justice,Marko,Ilešič,Ilesic,Slovenia,"Honorary Judge and President of Chamber at the Labour Court, Ljubljana (1975-86)",0,1,0,0,0,0,1,0,0,1,0,0,0,0
103,Court of Justice,Marko,Ilešič,Ilesic,Slovenia,President of the Sports Tribunal of Slovenia (1978-86),0,1,0,0,0,0,1,0,0,1,0,0,0,0
104,Court of Justice,Marko,Ilešič,Ilesic,Slovenia,President of the Arbitration Chamber of the Ljubljana Stock Exchange,0,1,0,0,0,0,0,0,1,0,0,0,0,0
105,Court of Justice,Marko,Ilešič,Ilesic,Slovenia,Arbitrator at the Chamber of Commerce of Yugoslavia (until 1991) and Slovenia (from 1991),0,1,0,0,0,0,1,0,0,1,0,0,0,0
106,Court of Justice,Marko,Ilešič,Ilesic,Slovenia,Arbitrator at the International Chamber of Commerce in Paris,0,1,0,0,0,0,1,0,0,1,0,0,0,0
107,Court of Justice,Marko,Ilešič,Ilesic,Slovenia,Judge on the Board of Appeals of UEFA and FIFA,0,1,0,0,0,0,1,0,0,0,0,0,1,0
108,Court of Justice,Marko,Ilešič,Ilesic,Slovenia,President of the Union of Slovene Lawyers' Associations (1993-2005),0,1,0,1,0,0,0,0,0,0,0,0,0,0
