"key_id","judge_id","full_name","first_name","last_name","last_name_latin","last_name_label","last_name_latin_label","member_state_id","member_state","member_state_code","birth_year","gender_id","gender","female","judge_court_of_justice","judge_general_court","judge_civil_service_tribunal","advocate_general","current_status","current_member","count_positions","nonconsecutive_positions","start_date","end_date","start_date_court_of_justice","end_date_court_of_justice","start_date_general_court","end_date_general_court","start_date_civil_service_tribunal","end_date_civil_service_tribunal","start_date_advocate_general","end_date_advocate_general"
11,"J:0201","Maurice Lagrange","Maurice","Lagrange","Lagrange","Lagrange","Lagrange",2,"France","FR",1900,2,"Male",0,0,0,0,1,"Former AG",0,1,0,1952-12-04,1964-10-08,NA,NA,NA,NA,NA,NA,1952-12-04,1964-10-08
12,"J:0202","Jacques Rueff","Jacques","Rueff","Rueff","Rueff","Rueff",2,"France","FR",1896,2,"Male",0,1,0,0,0,"Former CJ judge",0,1,0,1952-12-04,1962-05-18,1952-12-04,1962-05-18,NA,NA,NA,NA,NA,NA
13,"J:0203","Robert Lecourt","Robert","Lecourt","Lecourt","Lecourt","Lecourt",2,"France","FR",1908,2,"Male",0,1,0,0,0,"Former CJ judge",0,1,0,1962-05-18,1976-10-06,1962-05-18,1976-10-06,NA,NA,NA,NA,NA,NA
14,"J:0204","Joseph Gand","Joseph","Gand","Gand","Gand","Gand",2,"France","FR",1913,2,"Male",0,0,0,0,1,"Former AG",0,1,0,1964-10-08,1970-10-06,NA,NA,NA,NA,NA,NA,1964-10-08,1970-10-06
15,"J:0205","Alain Louis Dutheillet de Lamothe","Alain Louis","Dutheillet de Lamothe","Dutheillet de Lamothe","Dutheillet de Lamothe","Dutheillet de Lamothe",2,"France","FR",1919,2,"Male",0,0,0,0,1,"Former AG",0,1,0,1970-10-07,1972-01-02,NA,NA,NA,NA,NA,NA,1970-10-07,1972-01-02
16,"J:0206","Henri Mayras","Henri","Mayras","Mayras","Mayras","Mayras",2,"France","FR",1920,2,"Male",0,0,0,0,1,"Former AG",0,1,0,1972-03-22,1981-03-18,NA,NA,NA,NA,NA,NA,1972-03-22,1981-03-18
17,"J:0207","Adolphe Touffait","Adolphe","Touffait","Touffait","Touffait","Touffait",2,"France","FR",1907,2,"Male",0,1,0,0,0,"Former CJ judge",0,1,0,1976-10-14,1982-10-06,1976-10-14,1982-10-06,NA,NA,NA,NA,NA,NA
18,"J:0208","Simone Rozès","Simone","Rozès","Rozes","Rozès","Rozes",2,"France","FR",1920,1,"Female",1,0,0,0,1,"Former AG",0,1,0,1981-03-18,1984-02-13,NA,NA,NA,NA,NA,NA,1981-03-18,1984-02-13
19,"J:0209","Fernand Grévisse","Fernand","Grévisse","Grevisse","Grévisse","Grevisse",2,"France","FR",1924,2,"Male",0,1,0,0,0,"Former CJ judge",0,1,1,1981-04-01,1994-10-06,1981-04-01,1994-10-06,NA,NA,NA,NA,NA,NA
20,"J:0210","Yves Galmot","Yves","Galmot","Galmot","Galmot","Galmot",2,"France","FR",1931,2,"Male",0,1,0,0,0,"Former CJ judge",0,1,0,1982-10-07,1988-10-06,1982-10-07,1988-10-06,NA,NA,NA,NA,NA,NA
21,"J:0211","Marco Darmon","Marco","Darmon","Darmon","Darmon","Darmon",2,"France","FR",1930,2,"Male",0,0,0,0,1,"Former AG",0,1,0,1984-02-13,1994-10-06,NA,NA,NA,NA,NA,NA,1984-02-13,1994-10-06
